fen,result
1rbq1rk1/p2n1ppp/1p1bpn2/2p5/P7/1Q1P1NP1/1P2PPBP/RNB2RK1 w - - 3 11,0.0
r1bq1rk1/pp2ppbp/2n1n1p1/2p5/8/1QNPBNP1/PP2PPBP/R4RK1 w - - 3 11,0.0
r2qk2r/pp1nbppp/4p3/3n4/3N4/1P2P3/P4PPP/RNBQ1RK1 w kq - 1 11,0.5
r3k2r/1ppqn1pp/p1pbbp2/8/4P3/2Q1BN2/PPPN1PPP/R4RK1 w kq - 6 11,0.5
rn1qk2r/1p1nppbp/p2p2p1/2p5/2PPP3/2N1BBPP/PP3P2/R2QK2R w KQkq - 0 11,0.0
r3kb1r/1pqn1ppp/p1p1pn2/8/3P4/P2BBbNP/1PP2PP1/R2QK2R w KQkq - 0 11,1.0
r1bq1rk1/1p2npb1/2np2p1/p1p1p2p/2P4P/P1NP2P1/1P2PPB1/R1BQKN1R w KQ - 1 11,1.0
r2qk1nr/pp3p2/2np2pb/4p2p/2P1P3/2N2B2/PP3PPP/R1BQ1RK1 w kq - 0 11,1.0
r2qkb1r/3n1pp1/p2pbn2/1p2p2p/4P3/1NN1BP2/PPPQ2PP/2KR1B1R w kq - 0 11,1.0
rnbq1rk1/ppp2ppp/3p2n1/7Q/2P1PP2/P1N5/1P4PP/R1B1KB1R w KQ - 0 11,0.0
r3kb1r/ppq2ppp/2n1pnb1/3p4/3P3N/1QN1PP2/PP1B2PP/R3KB1R w KQkq - 2 11,0.0
r1bq1rk1/1p2ppbp/1n1p1np1/pP6/8/N3PN2/PB1PBPPP/R2Q1RK1 w - - 6 11,0.5
r1bq1rk1/pp1n1p1p/2pb2p1/5p2/2P5/2N1PN2/P2PBPPP/R2Q1RK1 w - - 0 11,1.0
r1bqk2r/pp3ppp/2n5/2bp4/8/P5P1/1P1NPnBP/RNBQ1RK1 w kq - 0 11,1.0
2kr2nr/1ppb1ppp/p1p5/8/1b1NP3/2N1B3/PPP2PPP/R4RK1 w - - 5 11,0.0
